10001,1909,云南开远,灵芝湖森林公园,4/15/2007,4/15/2007,1352,望月,21
10002,993,北京市区,天坛,4/15/2007,4/15/2007,77,观鸟迷,17
10003,2717,广东东莞,同沙生态园,4/14/2007,4/14/2007,1463,熊俊,1
10004,2012,广东东莞,城区,4/15/2007,4/15/2007,1463,熊俊,1
10005,2275,北京密云,西田各庄镇,4/8/2007,4/8/2007,1815,cheni21,2
10007,2012,广东东莞,城区,4/15/2007,4/15/2007,1463,熊俊,1
10010,1038,福建武夷山,保护区,4/10/2007,4/13/2007,24,Mcaribou,85
10011,62,广东广州,中山大学,4/14/2007,4/14/2007,463,whitefang,38
10012,1128,北京市区,百望山,4/16/2007,4/16/2007,29,ailaowolf,5
10013,2718,江苏句容,句容,4/14/2007,4/15/2007,1077,拙石,46
10014,1023,四川成都,四川大学,4/1/2007,4/15/2007,1170,暴走天使,4
10015,2360,上海市区,华东师大闵行校区,4/15/2007,4/15/2007,869,核心17,12
10016,207,北京市区,北京师范大学,4/16/2007,4/16/2007,1332,sincera,6
10017,2357,广西柳州,柳州铁路局大院,4/16/2007,4/16/2007,1073,红耳鹎,1
10018,1737,上海南汇,东滩禁猎区,4/15/2007,4/15/2007,397,sheen,43
10024,2260,云南石屏,坝心镇,1/18/2007,1/18/2007,1400,可达鸭,8
10025,272,安徽黄山,黄山,4/13/2007,4/13/2007,442,陶旭东,16
10026,2365,上海市区,上海交大闵行校区,4/16/2007,4/16/2007,1735,南瓜派,1
10027,975,北京昌平,沙河水库,4/15/2007,4/15/2007,1301,红嘴蓝鹊,35
10028,2717,广东东莞,同沙生态园,4/14/2007,4/14/2007,1463,熊俊,1
10029,2130,北京怀柔,汤河口,4/14/2007,4/14/2007,1332,sincera,18
10030,2720,江西南昌,江西林科院,4/12/2007,4/14/2007,1389,海南yan,26
10031,494,北京延庆,白河堡水库,4/15/2007,4/15/2007,1332,sincera,16
10032,1128,北京市区,百望山,4/16/2007,4/16/2007,20,ptarmigan,13
10038,2079,广西柳州,柳南西环小鱼塘,4/17/2007,4/17/2007,1073,红耳鹎,16
10039,2721,江苏连云港,新浦,4/16/2007,4/16/2007,1972,山雀,8
10040,62,广东广州,中山大学,4/15/2007,4/15/2007,332,乐伟强,16
10041,777,湖北武汉,华中农业大学,4/10/2007,4/10/2007,1909,高山,18
10042,2397,上海市区,闵行滨江公园,4/18/2007,4/18/2007,1529,小草,33
10043,2448,浙江杭州,西溪,4/11/2007,4/11/2007,397,sheen,24
10044,1128,北京市区,百望山,4/18/2007,4/18/2007,29,ailaowolf,13
10045,2357,广西柳州,柳州铁路局大院,4/18/2007,4/18/2007,1073,红耳鹎,2
10046,1962,广西南宁,广西大学西校园,4/18/2007,4/18/2007,1263,叶朵,1
10056,62,广东广州,中山大学,4/18/2007,4/18/2007,20,ptarmigan,8
10057,1023,四川成都,四川大学,4/19/2007,4/19/2007,1266,莲蓬,4
10058,94,河南罗山,董寨保护区,3/21/2007,3/21/2007,1537,小溪,15
10060,94,河南罗山,董寨保护区,4/3/2007,4/3/2007,1537,小溪,11
10061,94,河南罗山,董寨保护区,4/5/2007,4/5/2007,1537,小溪,21
10062,94,河南罗山,董寨保护区,4/18/2007,4/18/2007,1537,小溪,14
10063,207,北京市区,北京师范大学,4/19/2007,4/19/2007,1332,sincera,5
10064,428,浙江杭州,植物园,4/19/2007,4/19/2007,397,sheen,15
10065,94,河南罗山,董寨保护区,4/19/2007,4/19/2007,1537,小溪,15
10066,94,河南罗山,董寨保护区,4/19/2007,4/19/2007,1537,小溪,17
10067,2722,北京市区,北京一七一中,4/19/2007,4/19/2007,1301,红嘴蓝鹊,1
10068,1776,北京市区,对外经济贸易大学,4/18/2007,4/18/2007,1301,红嘴蓝鹊,1
10070,2448,浙江杭州,西溪,4/14/2007,4/14/2007,370,daoqie,3
10071,2448,浙江杭州,西溪,4/18/2007,4/18/2007,1299,jediz,1
10073,1128,北京市区,百望山,4/20/2007,4/20/2007,403,韩冬,1
10075,1173,新疆昌吉,五家渠青格达湖,4/20/2007,4/20/2007,1126,河狸,29
10077,529,广东广州,老白云机场,4/18/2007,4/20/2007,356,河洲翼,16
10078,736,贵州贵阳,贵州大学,3/31/2007,3/31/2007,1412,落凼落凼,31
10079,975,北京昌平,沙河水库,4/20/2007,4/20/2007,1332,sincera,6
10080,936,北京市区,北京大学,4/20/2007,4/20/2007,1332,sincera,7
10081,2275,北京密云,西田各庄镇,4/20/2007,4/20/2007,1815,cheni21,3
10082,2283,北京市区,中国农机研究院,4/20/2007,4/20/2007,792,dianchi,3
