4327,上海南汇,上海海事大学
4938,上海南汇,滴水湖
7030,上海南汇,南汇嘴停车场
1154,上海南汇,芦潮港
6406,上海南汇,临港新城河岸带
880,上海南汇,野生动物园
1300,上海南汇,浦东机场
1737,上海南汇,东滩禁猎区
5256,上海南汇,惠南镇
5118,上海南汇,滨海森林公园
1655,上海南汇,浦东康桥苗圃
5222,上海嘉定,中科院应用物理所
5225,上海嘉定,江桥片林
5224,上海嘉定,黄渡林业园
6533,上海嘉定,上海汽车博览公园
3828,上海嘉定,浏岛风景区
6699,上海嘉定,留云公园
5223,上海嘉定,方泰花木园艺场
4423,上海嘉定,江桥镇
2525,上海嘉定,古猗园
329,上海奉贤,南桥镇
422,上海奉贤,星火农场
321,上海奉贤,育秀实验学校
346,上海奉贤,古华园
629,上海奉贤,江海花园
506,上海奉贤,光明镇
2748,上海奉贤,上师大奉贤校区
1749,上海奉贤,海湾镇沿岸
431,上海奉贤,海湾镇
320,上海奉贤,钱桥镇
533,上海奉贤,菜场路花鸟市场
2270,上海奉贤,海湾国家森林公园
2751,上海奉贤,海湾旅游区
2128,上海奉贤,世纪林
2055,上海奉贤,竹港南闸口
2698,上海奉贤,燎原农场
2000,上海奉贤,全区
971,上海奉贤,四团镇
872,上海奉贤,五四农场
6459,上海崇明,陈家镇
5679,上海崇明,东滩湿地公园
6775,上海崇明,南八效
1156,上海崇明,东平森林公园
3093,上海崇明,南门港瀛洲公园
3592,上海崇明,前进远卓教育基地
3065,上海崇明,陈海公路
5176,上海崇明,牛棚港
13,上海崇明,东滩保护区
3074,上海崇明,城桥中学
6785,上海崇明,堡镇北
5812,上海崇明,港西镇
7177,上海崇明,北八滧
5482,上海崇明,崇西湿地实验站
6937,上海崇明,南八效港~堡镇港
2747,上海崇明,西沙湿地
1044,上海崇明,北湖
3759,上海崇明,横沙岛
2008,上海崇明,堡镇码头
3758,上海崇明,长兴岛
3094,上海崇明,明珠湖
6781,上海崇明,北八效~北六效
755,上海崇明,前卫村
7258,上海崇明,南四滧以西旧堤林
4221,上海川沙,曹路镇顾三村林地
1311,上海川沙,川沙公园
125,上海川沙,九段沙保护区
1691,上海川沙,川沙镇
1549,上海川沙,三甲港
